Record ID,Business Domain,Source System,Table Name,Field Name,Data Owner,Data Steward,Data Classification,Critical Data Element,Completeness Percent,Accuracy Percent,Consistency Flag,Duplicate Flag,GDPR Relevant,Regulation Type,Retention Policy Years,Masking Required,Access Level,Compliance Status,Audit Rating,Country,Country Latitude,Country Longitude,Audit Date,Data Quality Score,Governance Maturity Score,Compliance Risk Score,Audit Findings Count,Open Issues Count,Days Since Last Audit,Business Impact Score,Estimated Fine EUR,Remediation Cost EUR,Maturity Band,Low Governance Maturity Flag,Low Data Quality Flag,Governance-Quality Quadrant,Quality Band,Compliance Risk Band,High_or_Critical_Risk,Impact band,Estimated Fine Log,Fine Band,High Compliance Risk Flag,High Business Impact Flag,High Fine Flag,CRITICAL PRIORITY ASSET,Remediation Cost Band,Fine_to_Remediation_Ratio,ROI Band,Audit Month,Audit Freshness Band,Findings Severity Band,Open Issues Severity Band
13,Finance,Payments_Gateway,GL_Entries,Currency,Controller,FP&A Analytics,Internal,No,98.8,92.2,Yes,No,No,Internal Policy,7,No,Read,At Risk,B,France,48.8566,2.3522,2024-04-18,95.9,4,25.8,1,0,627,5,175447,7018,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.07509798168734,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.999572527785695,High ROI (10–50x),2024-04,Critical,Clean,Resolved
14,Operations,Logistics,Support_Tickets,Ticket_ID,Supply Chain Lead,Data Gov Team,Internal,No,89.4,100.0,Yes,No,No,Internal Policy,3,No,Read,At Risk,B,Belgium,50.8503,4.3517,2025-03-16,95.2,3,20.9,1,0,295,1,35189,1408,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,10.46851723031563,Low (<€100k),False,False,False,False,Low Cost (<€10k),24.9921875,High ROI (10–50x),2025-03,Aging,Clean,Resolved
15,Finance,Finance_System,GL_Entries,Description,Controller,FP&A Analytics,Internal,No,92.6,99.5,Yes,No,No,Internal Policy,5,No,Read,At Risk,B,France,48.8566,2.3522,2024-11-20,96.5,4,25.6,2,2,411,5,127979,10238,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.759629280693451,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.500390701308849,High ROI (10–50x),2024-11,Stale,Minor Issues,Low
16,Finance,ERP,GL_Entries,Source_Document,Head of Finance Ops,Finance Ops,Internal,No,98.9,98.0,No,No,No,Internal Policy,5,No,Read,Compliant,B,Denmark,55.6761,12.5683,2025-08-10,95.6,4,24.4,2,0,148,3,0,1069,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-08,Fresh,Minor Issues,Resolved
17,HR,Data_Warehouse,Recruitment,CV_Text,People Ops Lead,Data Gov Team,Sensitive,Yes,97.8,95.5,Yes,Yes,Yes,GDPR,7,Yes,Read,Non-Compliant,E,Germany,52.52,13.405,2025-09-15,97.0,4,83.0,12,10,112,8,588028,141127,High Maturity,False,False,Healthy,High Quality,High Risk,True,High Impact,13.284531545392477,High (€500k–€1M),True,True,True,True,High Cost (€50k–€150k),4.1666583998809585,Moderate ROI (3–10x),2025-09,Fresh,Severe Issues,Critical
18,Marketing,Data_Warehouse,Sessions,IP_Address,Digital Lead,Marketing Analytics,Sensitive,Yes,96.5,74.1,Yes,Yes,Yes,GDPR,7,Yes,Admin,Non-Compliant,E,United Kingdom,51.5074,-0.1278,2025-06-22,86.8,3,100.0,10,7,197,8,896472,161365,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Critical Risk,True,High Impact,13.706223454451653,High (€500k–€1M),True,True,True,True,Very High Cost (>€150k),5.5555541784153935,Moderate ROI (3–10x),2025-06,Aging,Severe Issues,High
19,Marketing,Email_Platform,Campaigns,Campaign_Name,Head of Growth,CRM Ops,Internal,Yes,94.3,89.0,Yes,No,No,Internal Policy,2,No,Read,At Risk,B,Sweden,59.3293,18.0686,2025-10-14,92.5,3,17.5,2,1,83,4,135128,8108,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.81398515672354,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),16.6660088801184,High ROI (10–50x),2025-10,Fresh,Minor Issues,Low
20,Operations,WMS,Inventory,Unit_Cost_EUR,Supply Chain Lead,Data Gov Team,Confidential,Yes,92.2,100.0,No,No,Yes,GDPR,5,Yes,Read,Non-Compliant,E,Spain,40.4168,-3.7038,2024-02-21,93.5,2,75.9,12,8,684,6,647912,129582,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,High Risk,True,Medium Impact,13.381511707061572,High (€500k–€1M),True,False,True,False,High Cost (€50k–€150k),5.00001543424241,Moderate ROI (3–10x),2024-02,Critical,Severe Issues,High
21,HR,Data_Warehouse,Payroll,Country,HR Manager,Data Gov Team,Internal,Yes,100.0,95.4,Yes,No,No,Internal Policy,3,No,Read,At Risk,B,Poland,52.2297,21.0122,2024-01-09,97.9,4,26.9,2,2,727,6,48863,3909,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,10.796796208018359,Low (<€100k),False,False,False,False,Low Cost (<€10k),12.500127909951393,High ROI (10–50x),2024-01,Critical,Minor Issues,Low
22,Finance,Payments_Gateway,GL_Entries,Created_By,Head of Finance Ops,Data Gov Team,Confidential,No,100.0,100.0,No,No,No,Internal Policy,1,No,Write,At Risk,C,Poland,52.2297,21.0122,2024-07-24,97.0,4,54.4,5,3,530,3,113701,11370,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Low Impact,11.641336269733438,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),10.00008795074758,High ROI (10–50x),2024-07,Stale,Moderate Issues,Medium
23,Finance,Data_Warehouse,GL_Entries,Posting_Date,Head of Finance Ops,FP&A Analytics,Internal,No,100.0,100.0,Yes,No,No,Internal Policy,5,No,Read,Compliant,B,Netherlands,52.3676,4.9041,2024-04-26,100.0,5,19.0,1,1,619,4,0,662,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2024-04,Critical,Clean,Low
24,IT,AI_Platform,Security_Incidents,Attack_Vector,Head of Data Platform,Security Ops,Internal,No,100.0,98.6,Yes,No,No,NIS2,3,No,Read,At Risk,C,Spain,40.4168,-3.7038,2025-02-11,99.4,3,32.3,3,2,328,5,185200,14816,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.129197000747673,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.5,High ROI (10–50x),2025-02,Aging,Minor Issues,Low
25,Finance,Finance_System,GL_Entries,Approved_By,Head of Finance Ops,FP&A Analytics,Internal,No,90.6,89.0,Yes,No,No,Internal Policy,5,No,Read,At Risk,B,Poland,52.2297,21.0122,2024-03-17,90.8,3,27.1,1,0,659,3,85411,3416,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,11.355241885127805,Low (<€100k),False,False,False,False,Low Cost (<€10k),25.00322014051522,High ROI (10–50x),2024-03,Critical,Clean,Resolved
26,Marketing,Email_Platform,Campaigns,UTM_Medium,Marketing Lead,Marketing Analytics,Internal,No,92.0,97.8,Yes,No,No,Internal Policy,7,No,Read,At Risk,B,Portugal,38.7223,-9.1393,2024-05-13,95.4,3,29.1,2,0,602,5,236102,9444,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.372023429473183,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),25.00021177467175,High ROI (10–50x),2024-05,Critical,Minor Issues,Resolved
27,Finance,ERP,GL_Entries,Approved_By,Controller,FP&A Analytics,Internal,No,91.4,98.9,Yes,Yes,No,Internal Policy,3,No,Read,At Risk,C,Spain,40.4168,-3.7038,2024-03-15,95.6,5,34.0,5,3,661,3,129287,12929,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,11.76979775302848,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),9.999767963492923,Moderate ROI (3–10x),2024-03,Critical,Moderate Issues,Medium
28,Marketing,CRM,Customer_Master,Consent_Status,Head of Growth,Data Gov Team,Internal,No,91.0,92.6,Yes,No,No,Internal Policy,1,No,Admin,At Risk,C,Netherlands,52.3676,4.9041,2025-03-13,92.6,1,52.2,3,0,298,2,261196,10448,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Medium Risk,False,Low Impact,12.473030190866695,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),24.999617151607964,High ROI (10–50x),2025-03,Aging,Minor Issues,Resolved
29,Marketing,Email_Platform,Customer_Master,Customer_ID,Digital Lead,CRM Ops,Internal,No,88.5,94.3,Yes,No,No,Internal Policy,2,No,Read,At Risk,B,Sweden,59.3293,18.0686,2025-06-06,92.3,3,22.1,1,0,213,3,35740,1430,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,10.484053768176494,Low (<€100k),False,False,False,False,Low Cost (<€10k),24.993006993006993,High ROI (10–50x),2025-06,Aging,Clean,Resolved
30,Finance,ERP,Payments,Country,Finance Director,FP&A Analytics,Internal,No,100.0,100.0,Yes,No,No,Internal Policy,5,No,Read,Compliant,B,Netherlands,52.3676,4.9041,2025-02-09,100.0,4,22.0,1,1,330,4,0,2028,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-02,Aging,Clean,Low
31,Sales,Data_Warehouse,Orders,Sales_Rep_ID,Sales Director,Data Gov Team,Internal,No,91.8,96.3,Yes,No,No,Internal Policy,3,No,Write,At Risk,C,Netherlands,52.3676,4.9041,2024-05-29,94.6,4,36.4,5,1,586,5,211962,12718,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.264167010120426,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.666299732662367,High ROI (10–50x),2024-05,Critical,Moderate Issues,Low
32,Finance,Data_Warehouse,Invoices,Tax_Amount_EUR,Head of Finance Ops,Finance Ops,Confidential,No,99.2,96.8,Yes,No,Yes,GDPR,7,Yes,Read,At Risk,C,France,48.8566,2.3522,2024-12-09,98.2,5,48.8,5,3,392,3,88299,8830,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Low Impact,11.388495386592052,Low (<€100k),False,False,False,False,Low Cost (<€10k),9.999886749716874,Moderate ROI (3–10x),2024-12,Stale,Moderate Issues,Medium
33,Operations,WMS,Support_Tickets,Conversation_Text,Head of Operations,Process Excellence,Confidential,No,87.9,95.8,Yes,No,Yes,GDPR,3,Yes,Read,Non-Compliant,D,Germany,52.52,13.405,2024-10-03,92.7,3,63.3,5,2,459,6,847208,67777,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,13.64970269644237,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),12.499933605795476,High ROI (10–50x),2024-10,Stale,Moderate Issues,Low
34,Finance,Payments_Gateway,Invoices,Invoice_Date,Controller,Finance Ops,Internal,No,86.3,100.0,Yes,No,No,Internal Policy,7,No,Read,At Risk,A,Belgium,50.8503,4.3517,2025-08-15,93.8,5,13.9,1,1,143,4,77785,4667,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.261716745387675,Low (<€100k),False,False,False,False,Low Cost (<€10k),16.667023784015427,High ROI (10–50x),2025-08,Fresh,Clean,Low
35,Finance,Billing,Payments,Payment_Amount_EUR,Controller,FP&A Analytics,Internal,No,100.0,100.0,No,No,No,SOX,10,No,Read,At Risk,C,Denmark,55.6761,12.5683,2024-10-10,97.0,5,30.4,4,1,452,4,189229,11354,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.150718485398096,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.666285009688217,High ROI (10–50x),2024-10,Stale,Moderate Issues,Low
36,HR,Payroll,Recruitment,Phone,People Ops Lead,People Ops,Sensitive,Yes,88.0,82.8,Yes,No,Yes,GDPR,2,Yes,Admin,Non-Compliant,E,Spain,40.4168,-3.7038,2024-04-14,86.9,3,100.0,12,8,631,6,909853,181971,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Critical Risk,True,Medium Impact,13.72103942606079,High (€500k–€1M),True,False,True,False,Very High Cost (>€150k),4.999989009237735,Moderate ROI (3–10x),2024-04,Critical,Severe Issues,High
37,Finance,Payments_Gateway,Payments,Chargeback_Flag,Head of Finance Ops,Finance Ops,Confidential,No,100.0,100.0,Yes,No,No,SOX,10,No,Write,At Risk,C,Belgium,50.8503,4.3517,2025-02-28,100.0,3,48.0,2,1,311,4,198235,11894,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,12.197213519096849,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.66680679334118,High ROI (10–50x),2025-02,Aging,Minor Issues,Low
38,Finance,Payments_Gateway,GL_Entries,Amount_EUR,Head of Finance Ops,FP&A Analytics,Confidential,No,97.9,98.5,Yes,No,Yes,GDPR,7,Yes,Admin,Non-Compliant,E,Spain,40.4168,-3.7038,2025-03-17,98.4,5,78.4,12,8,294,7,504434,100887,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.131194270039083,High (€500k–€1M),True,True,True,True,High Cost (€50k–€150k),4.999990087920148,Moderate ROI (3–10x),2025-03,Aging,Severe Issues,High
39,Operations,Support,Inventory,Expiry_Date,Head of Operations,Process Excellence,Internal,No,82.2,82.9,Yes,No,No,Internal Policy,5,No,Write,At Risk,C,Portugal,38.7223,-9.1393,2024-09-04,84.3,3,46.1,5,1,488,6,143870,8632,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Medium Risk,False,Medium Impact,11.876672343726321,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),16.667052826691382,High ROI (10–50x),2024-09,Stale,Moderate Issues,Low
40,Operations,Data_Warehouse,Support_Tickets,Agent_ID,Ops Director,Ops BI,Internal,No,97.7,100.0,Yes,No,No,Internal Policy,1,No,Write,Compliant,B,Spain,40.4168,-3.7038,2025-08-12,99.0,4,28.8,2,0,146,6,0,2976,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-08,Fresh,Minor Issues,Resolved
41,HR,HR_System,Payroll,Deductions_EUR,HR Director,Data Gov Team,Sensitive,No,96.1,83.3,Yes,No,Yes,GDPR,10,Yes,Write,Non-Compliant,E,Denmark,55.6761,12.5683,2024-12-12,90.7,3,87.2,10,9,389,5,954190,209922,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.768619140034753,High (€500k–€1M),True,False,True,False,Very High Cost (>€150k),4.545450214841703,Moderate ROI (3–10x),2024-12,Stale,Severe Issues,High
42,Operations,Logistics,Support_Tickets,Agent_ID,Supply Chain Lead,Process Excellence,Internal,Yes,99.8,89.6,Yes,No,No,Internal Policy,5,No,Write,At Risk,C,Denmark,55.6761,12.5683,2025-04-27,95.3,2,37.8,5,0,253,4,179230,7169,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,Medium Impact,12.096430755633166,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),25.000697447342727,High ROI (10–50x),2025-04,Aging,Moderate Issues,Resolved
43,IT,Monitoring,Security_Incidents,Severity,Head of Data Platform,Platform Engineering,Confidential,No,100.0,97.3,Yes,No,Yes,GDPR,2,Yes,Write,Non-Compliant,D,Netherlands,52.3676,4.9041,2024-04-14,98.8,4,67.5,6,6,631,6,625978,100156,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.347072103193666,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),6.250029953272894,Moderate ROI (3–10x),2024-04,Critical,Moderate Issues,High
44,Operations,Logistics,Inventory,Warehouse_ID,Head of Operations,Data Gov Team,Internal,No,90.1,92.7,Yes,No,No,Internal Policy,3,No,Write,At Risk,C,Sweden,59.3293,18.0686,2024-02-01,92.3,2,45.5,2,0,704,6,186480,7459,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Medium Risk,False,Medium Impact,12.136084636200623,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),25.000670331143585,High ROI (10–50x),2024-02,Critical,Minor Issues,Resolved
45,Marketing,Email_Platform,Customer_Master,Country,Marketing Lead,Marketing Analytics,Internal,No,100.0,79.2,Yes,No,No,Internal Policy,7,No,Write,At Risk,C,Spain,40.4168,-3.7038,2024-06-26,90.6,2,38.2,2,2,558,2,67090,5367,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,Low Impact,11.11380518579687,Low (<€100k),False,False,False,False,Low Cost (<€10k),12.500465809577046,High ROI (10–50x),2024-06,Critical,Minor Issues,Low
46,Marketing,Data_Warehouse,Customer_Master,Phone,Digital Lead,Marketing Analytics,Sensitive,Yes,99.3,86.8,Yes,Yes,Yes,GDPR,7,Yes,Read,Non-Compliant,E,Denmark,55.6761,12.5683,2025-05-03,93.8,3,92.2,15,10,247,7,1099296,263831,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.910181442553862,Very High (€1M+),True,True,True,True,Very High Cost (>€150k),4.166667298384193,Moderate ROI (3–10x),2025-05,Aging,Severe Issues,Critical
47,HR,Data_Warehouse,Payroll,Country,HR Director,Data Gov Team,Internal,Yes,94.8,84.5,Yes,No,No,Internal Policy,3,No,Read,At Risk,C,Spain,40.4168,-3.7038,2024-11-21,90.7,4,32.2,2,2,410,7,222105,17768,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.310910024375795,Medium (€100k–€500k),False,True,False,False,Medium Cost (€10k–€50k),12.500281404772625,High ROI (10–50x),2024-11,Stale,Minor Issues,Low
48,Marketing,Web_Analytics,Campaigns,Start_Date,Digital Lead,CRM Ops,Internal,No,96.7,94.8,Yes,No,No,Internal Policy,2,No,Admin,At Risk,C,Spain,40.4168,-3.7038,2024-01-20,96.2,3,52.7,3,2,716,6,212806,17024,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,12.268140930645448,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.500352443609023,High ROI (10–50x),2024-01,Critical,Minor Issues,Low
49,HR,Learning_LMS,Payroll,Tax_Code,HR Director,People Ops,Internal,No,96.2,98.1,Yes,No,No,Internal Policy,3,No,Write,At Risk,C,Spain,40.4168,-3.7038,2024-10-08,97.4,3,38.2,2,1,454,5,107939,6476,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.589330796172634,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),16.667541692402718,High ROI (10–50x),2024-10,Stale,Minor Issues,Low
50,HR,Learning_LMS,Payroll,Employee_ID,HR Manager,Data Gov Team,Internal,No,100.0,80.0,Yes,No,No,Internal Policy,5,No,Admin,At Risk,C,Portugal,38.7223,-9.1393,2024-10-19,91.0,4,54.0,3,1,443,7,50448,3027,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,10.828718203979754,Low (<€100k),False,True,False,False,Low Cost (<€10k),16.666005946481665,High ROI (10–50x),2024-10,Stale,Minor Issues,Low
51,IT,Security_SIEM,Security_Incidents,Reporter,Head of Data Platform,Platform Engineering,Internal,No,100.0,100.0,Yes,No,No,NIS2,7,No,Admin,At Risk,C,Portugal,38.7223,-9.1393,2024-09-09,100.0,4,51.0,3,0,483,5,149322,5973,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,11.913867023906258,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.99949773982923,High ROI (10–50x),2024-09,Stale,Minor Issues,Resolved
52,HR,Data_Warehouse,Payroll,Tax_Code,HR Director,People Ops,Confidential,No,95.5,88.8,Yes,No,Yes,GDPR,7,Yes,Read,Non-Compliant,D,Portugal,38.7223,-9.1393,2024-06-29,93.0,4,56.2,6,4,555,4,844482,101338,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,13.646479884772788,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),8.333320176044523,Moderate ROI (3–10x),2024-06,Critical,Moderate Issues,Medium
53,Sales,Data_Warehouse,POS_Transactions,Cashier_ID,Head of Revenue Ops,Data Gov Team,Internal,Yes,98.0,100.0,Yes,No,No,Internal Policy,5,No,Write,At Risk,C,Portugal,38.7223,-9.1393,2025-06-05,99.1,4,30.1,5,2,214,5,77755,6220,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.261330997482004,Low (<€100k),False,False,False,False,Low Cost (<€10k),12.5008038585209,High ROI (10–50x),2025-06,Aging,Moderate Issues,Low
